"Inquinante:";"biossido di azoto"
"Elaborazione:";"media annua"
"Unita' di misura";"microgrammi/metro cubo"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2014"
"Tipologia di stazione:";"tutte le stazioni regionali (escluse industriali), divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014"
"traffico";"minimo tra le stazioni";49;40;41;36;44;38;41;40;32;36;31;26;26;22
"traffico";"mediana tra le stazioni";57;53,5;55;47;55;53,5;51;52;44;45;42;43;41;36,5
"traffico";"massimo tra le stazioni";65;68;75;70;66;71;68;75;55;53;62;55;54;54
"traffico";"n.stazioni valide";8;8;9;9;9;10;11;11;11;11;11;11;11;12
"fondo urbano/suburbano";"minimo tra le stazioni";17;23;26;23;23;21;27;13;11;12;11;10;9;9
"fondo urbano/suburbano";"mediana tra le stazioni";35;35,5;35;37;39,5;39,5;39;32;31;28;27;25;24;21
"fondo urbano/suburbano";"massimo tra le stazioni";43;75;45;47;67;52;70;52;44;42;38;32;35;38
"fondo urbano/suburbano";"n.stazioni valide";9;10;9;9;12;12;13;17;19;22;22;22;21;21
"fondo rurale";"minimo tra le stazioni";16;19;17;9;16;6;9;13;9;2;2;3;3;2
"fondo rurale";"mediana tra le stazioni";24;28;27;24;21;15;12;25;18,5;16;15;14;12;12
"fondo rurale";"massimo tra le stazioni";32;37;37;26;24;26;27;39;37;27;24;22;19;16
"fondo rurale";"n.stazioni valide";2;2;2;3;3;3;3;10;10;13;14;14;14;15
