"Inquinante:";"ozono"
"Elaborazione:";"AOT40, valore bersaglio per la protezione della vegetazione"
"Unita' di misura";"microgrammi/metro cubo per ora"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2014"
"Tipologia di stazione:";"tutte le stazioni regionali di fondo, divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014"
"fondo urbano";"minimo tra le stazioni";12216;14418;21069;17012;27487;12424;15930;10814;7172;13309;5247;3363;5020;16290
"fondo urbano";"mediana tra le stazioni";29042;20651;36309;30589;35304;33056;27105;25048,5;25308;22788,5;28927;26448,5;29036;22679
"fondo urbano";"massimo tra le stazioni";36749;32354;45194;38810;43862;62316;38618;33283;57757;35325;34338;35177;38608;39779
"fondo urbano";"n.stazioni valide";7;7;7;7;7;8;8;8;9;10;10;10;9;11
"fondo suburbano";"minimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;23984;18563;12546;14186;4806;15135;22;19444
"fondo suburbano";"mediana tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;23984;22538;23793;26366,5;28991;29771;25887;25393
"fondo suburbano";"massimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;23984;22895;35225;32984;35348;35803;31451;34097
"fondo suburbano";"n.stazioni valide";0;0;0;0;0;0;1;3;5;8;9;9;9;9
"fondo rurale";"minimo tra le stazioni";35979;2379;19697;27973;29897;43347;32487;9707;6954;16286;13737;6751;6879;2491
"fondo rurale";"mediana tra le stazioni";45570;18824;39535;32793,5;33419;43923;34182;24730;34350,5;26816;28667;30827,5;24150,5;22867,5
"fondo rurale";"massimo tra le stazioni";55161;35269;59373;37614;36630;56503;45313;49441;40122;43045;38837;41170;39359;34350
"fondo rurale";"n.stazioni valide";2;2;2;2;3;3;3;9;10;13;13;14;14;14
