"Inquinante:";"ozono"
"Elaborazione:";"superamenti orari della soglia di informazione"
"Unita' di misura";"ore"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2014"
"Tipologia di stazione:";"tutte le stazioni regionali di fondo, divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014"
"fondo urbano";"minimo tra le stazioni";0;0;12;3;3;3;2;0;0;0;0;0;0;0
"fondo urbano";"mediana tra le stazioni";16;1;24;27;22;17,5;11;15,5;0;0;5;4;10;3
"fondo urbano";"massimo tra le stazioni";54;29;121;87;62;47;59;35;16;42;20;49;74;25
"fondo urbano";"n.stazioni valide";7;7;7;7;7;8;8;8;9;10;10;10;9;11
"fondo suburbano";"minimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;25;6;0;0;0;0;0;0
"fondo suburbano";"mediana tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;25;7;1;3,5;2;8;17;4
"fondo suburbano";"massimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;25;9;18;31;16;39;39;26
"fondo suburbano";"n.stazioni valide";0;0;0;0;0;0;1;3;5;8;9;9;9;9
"fondo rurale";"minimo tra le stazioni";18;0;12;30;3;44;0;0;0;0;0;0;0;0
"fondo rurale";"mediana tra le stazioni";81,5;17,5;75;41,5;4;59;19;9;5;1;1;5,5;3;1,5
"fondo rurale";"massimo tra le stazioni";145;35;138;53;16;66;26;46;43;42;15;41;66;25
"fondo rurale";"n.stazioni valide";2;2;2;2;3;3;3;9;10;13;13;14;14;14
