"Inquinante:";"PM10"
"Elaborazione:";"superamenti giornalieri"
"Unita' di misura";"giorni"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2014"
"Tipologia di stazione:";"tutte le stazioni regionali (escluse industriali), divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014"
"traffico";"minimo tra le stazioni";1;49;19;0;30;45;19;38;4;35;44;38;19;15
"traffico";"mediana tra le stazioni";1;71,5;91;67,5;54;78,5;86;73;50;59;72;73;51;32
"traffico";"massimo tra le stazioni";1;94;113;106;100;130;122;112;83;79;96;115;80;61
"traffico";"n.stazioni valide";1;2;3;4;7;8;9;10;11;11;11;11;11;12
"fondo urbano/suburbano";"minimo tra le stazioni";60;64;37;14;0;36;7;2;7;3;17;8;4;8
"fondo urbano/suburbano";"mediana tra le stazioni";60;99;115;36;43;60;51;27;29;38,5;49,5;45;26;22
"fondo urbano/suburbano";"massimo tra le stazioni";60;134;133;100;110;118;114;90;69;65;86;85;48;44
"fondo urbano/suburbano";"n.stazioni valide";1;2;3;5;7;9;10;15;19;22;22;22;21;21
"fondo rurale";"minimo tra le stazioni";14;27;16;0;3;2;0;0;0;1;0;0;0;0
"fondo rurale";"mediana tra le stazioni";14;27;16;6;7;5;3;1;12;15;10;4;4;4
"fondo rurale";"massimo tra le stazioni";14;27;16;12;11;8;6;39;52;53;72;64;31;33
"fondo rurale";"n.stazioni valide";1;1;1;2;2;2;2;3;5;7;9;9;10;11
