"Inquinante:";"PM10"
"Elaborazione:";"media annua"
"Unita' di misura";"microgrammi/metro cubo"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2015"
"Tipologia di stazione:";"tutte le stazioni regionali (escluse industriali), divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014";"anno.2015"
"traffico";"minimo tra le stazioni";n.d.;45;44;39;34;30;23;29;28;27;30;29;23;21;25
"traffico";"mediana tra le stazioni";n.d.;45;44,5;40;35;40;39,5;37;35;33;37;36;31;28;32
"traffico";"massimo tra le stazioni";n.d.;45;45;41;42;48;48;44;40;38;43;45;37;35;37
"traffico";"n.stazioni valide";0;1;2;3;3;5;8;8;8;11;11;11;11;12;12
"fondo urbano/suburbano";"minimo tra le stazioni";n.d.;50;44;41;41;31;27;28;28;24;26;23;19;18;21
"fondo urbano/suburbano";"mediana tra le stazioni";n.d.;50;47,5;41;42;35;33;33;31;30;34;31;26;24;29
"fondo urbano/suburbano";"massimo tra le stazioni";n.d.;50;51;41;43;42;44;39;38;33;40;38;31;30;33
"fondo urbano/suburbano";"n.stazioni valide";0;1;2;1;2;5;5;7;10;18;19;21;21;19;21
"fondo rurale";"minimo tra le stazioni";n.d.;24;25;21;10;12;n.d.;9;8;7;9;10;8;8;9
"fondo rurale";"mediana tra le stazioni";n.d.;24;25;21;14,5;12;n.d.;9;20;24;25,5;18;15;16;19
"fondo rurale";"massimo tra le stazioni";n.d.;24;25;21;19;12;n.d.;9;32;32;37;34;29;28;32
"fondo rurale";"n.stazioni valide";0;1;1;1;2;1;0;1;2;5;6;9;9;9;10
