"Inquinante:";"PM2.5"
"Elaborazione:";"media annua"
"Unita' di misura";"microgrammi/metro cubo"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2015"
"Tipologia di stazione:";"tutte le stazioni regionali (escluse industriali), divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014";"anno.2015"
"traffico";"minimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;22;21;23;22;20;18;20
"traffico";"mediana tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;22;21;23;22;20;18;20
"traffico";"massimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;22;21;23;22;20;18;20
"traffico";"n.stazioni valide";0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"fondo urbano/suburbano";"minimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;22;17;17;20;18;15;13;14
"fondo urbano/suburbano";"mediana tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;22,5;20,5;20,5;22,5;22;18;16;20
"fondo urbano/suburbano";"massimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;23;22;24;27;26;23;19;24
"fondo urbano/suburbano";"n.stazioni valide";0;0;0;0;0;0;0;2;6;10;10;10;11;13;14
"fondo rurale";"minimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;14;15;16;7;6;5;7
"fondo rurale";"mediana tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;20;21;22;20,5;17;17;19
"fondo rurale";"massimo tra le stazioni";n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;23;24;29;28;24;22;27
"fondo rurale";"n.stazioni valide";0;0;0;0;0;0;0;0;6;9;9;10;9;10;10
