"Inquinante:";"biossido di zolfo"
"Elaborazione:";"media annua"
"Unita' di misura";"microgrammi/metro cubo"
"Copertura spaziale:";"Emilia-Romagna"
"Copertura temporale:";"2001-2015"
"Tipologia di stazione:";"tutte le stazioni regionali (escluse industriali), divise per tipologia"
"tipologia";"descrizione";"anno.2001";"anno.2002";"anno.2003";"anno.2004";"anno.2005";"anno.2006";"anno.2007";"anno.2008";"anno.2009";"anno.2010";"anno.2011";"anno.2012";"anno.2013";"anno.2014";"anno.2015"
"traffico";"minimo tra le stazioni";7;4;3;2;5;2;2;7;6;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
"traffico";"mediana tra le stazioni";8;5,5;5;6;6,5;6;5;7;6;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
"traffico";"massimo tra le stazioni";9;7;7;8;8;6;8;7;6;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
"traffico";"n.stazioni valide";3;2;2;3;2;3;3;1;1;0;0;0;0;0;0
"fondo urbano/suburbano";"minimo tra le stazioni";9;9;8;8;6;6;7;n.d.;5;5;3;3;5;4;4
"fondo urbano/suburbano";"mediana tra le stazioni";9;9;8;8;8,5;6,5;7;n.d.;5;5;3;3;5;4;4
"fondo urbano/suburbano";"massimo tra le stazioni";9;9;8;8;11;7;7;n.d.;5;5;3;3;5;4;4
"fondo urbano/suburbano";"n.stazioni valide";1;1;1;1;2;2;1;0;1;1;1;1;1;1;1
"fondo rurale";"minimo tra le stazioni";n.d.;3;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
"fondo rurale";"mediana tra le stazioni";n.d.;3;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
"fondo rurale";"massimo tra le stazioni";n.d.;3;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
"fondo rurale";"n.stazioni valide";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
